正面,背面,正面附件,背面附件
算盘,"算盤
「そろばん」",,
长处,"長所
「ちょうしょ」",,
批判,"批判
「ひはん」",,
进口,"輸入
「ゆにゅう」",,
诚恳、特意,"折り入って
「おりいって」",,
郑重其事、庄重,"改まる
「あらたまる」",,
请求、信赖,"頼み
「たのみ」",,
答应、接受；承担,"引き受ける
「ひきうける」",,
遇见、碰上,"出会う
「であう」",,
装束、样子、姿态,"格好
「かっこう」",,
装置、装备,"装置
「そうち」",,
,,,
带口信,"伝言
「でんごん」",,
善后、整理、收拾,"後片付け
「あとかたづけ」",,
趋势、倾向,"傾向
「けいこう」",,
对、对于,"対する
「たいする」",,
牵涉、连接、排列,つながる,,
上涨、上升,"上昇
「じょうしょう」",,
发展、走向追溯,たどる,,
改善,"改善
「かいぜん」",,
申诉、诉说、呼吁,"訴える
「うったえる」",,
帮助、援助、支持,"援助
「えんじょ」",,
体验、经验,"体験
「たいけん」",,
每年,"毎年
「まいとし」",,
收入、所得,"収入
「しゅうにゅう」",,
高潮、热潮,ブーム,,
政治,"政治
「せいじ」",,
